Rank,Earliest First 5,,Latest First 5,,Earliest First 10,,Latest First 10,,Earliest First 15,,Latest First 15,,Earliest First 20,,Latest First 20,,Earliest First 30,,Latest First 30,,Earliest First -20,,Latest First -20,,Earliest First -30,,Latest First -30,
1,Jan 3,2007,Apr 24,2013,Feb 25,1958,Apr 30,1893,Mar 6,2000,May 15,1907,Mar 18,2012,May 25,1907,Apr 18,1987,Aug 16,2008,Oct 26,1936/37,Jan 1,1877/78,Nov 19,1881/82,Never,1930/31
2,Jan 5,2012,Apr 15,1950,Mar 4,2000,Apr 26,2013,Mar 16,2012,May 12,1979,Mar 23,1910,May 21,1956,Apr 20,1980,Jul 26,2015,Nov 3,1873/74,Dec 26,1954/55,Nov 19,1896/97,Never,2011/12
3,Jan 7,2003,Apr 12,1884,Mar 5,1878,Apr 25,1904,Mar 19,1938,May 10,1950,Mar 27,1946,May 18,1996,Apr 23,1990,Jul 24,1882,Nov 3,1893/94,Dec 22,1987/88,Nov 20,1880/81,Feb 5,1943/44
4,Jan 8,1986,Apr 11,1979,Mar 5,1988,Apr 25,1947,Mar 19,2021,May 5,1996,Mar 28,1938,May 17,1935,Apr 25,1891,Jul 24,1927,Nov 4,1919/20,Dec 21,1913/14,Nov 20,1978/79,Jan 30,1931/32
5,Jan 8,2002,Apr 9,1936,Mar 8,2021,Apr 22,1884,Mar 21,1910,May 4,1956,Apr 3,1991,May 17,1967,Apr 26,1952,Jul 19,1920,Nov 5,1935/36,Dec 19,2015/16,Nov 21,1875/76,Jan 28,1907/08
6,Jan 9,1958,Apr 9,1965,Mar 9,1902,Apr 21,1896,Mar 21,1945,May 4,1997,Apr 4,1895,May 16,1883,Apr 28,1949,Jul 15,1967,Nov 5,1951/52,Dec 18,1920/21,Nov 23,1884/85,Jan 27,2001/02
7,Jan 10,1928,Apr 9,1974,Mar 11,1981,Apr 21,1907,Mar 22,1878,May 4,2022,Apr 4,1912,May 16,1892,Apr 28,1985,Jul 12,1879,Nov 6,1901/02,Dec 18,1952/53,Nov 24,1903/04,Jan 26,1954/55
8,Jan 10,1990,Apr 8,1876,Mar 11,2012,Apr 20,1883,Mar 22,2003,May 2,1872,Apr 5,1900,May 16,1979,May 2,2000,Jul 11,1898,Nov 7,2003/04,Dec 18,2023/24,Nov 24,1985/86,Jan 26,2020/21
9,Jan 12,1987,Apr 8,1888,Mar 11,2016,Apr 20,1956,Mar 23,1889,May 2,1893,Apr 7,1931,May 15,1884,May 3,1930,Jul 11,1906,Nov 8,1966/67,Dec 15,1953/54,Nov 26,1887/88,Jan 25,1899/00
10,Jan 17,1923,Apr 8,1899,Mar 11,2024,Apr 19,1997,Mar 23,1928,May 2,1970,Apr 7,1987,May 14,1902,May 4,1897,Jul 11,1942,Nov 9,1933/34,Dec 15,1999/00,Nov 26,1895/96,Jan 25,1982/83
11,Jan 19,1900,Apr 8,2023,Mar 13,2010,Apr 17,1876,Mar 23,1963,May 2,2023,Apr 8,1889,May 13,1950,May 4,1918,Jul 10,1905,Nov 9,2017/18,Dec 14,1969/70,Nov 26,1897/98,Jan 24,1913/14
12,Jan 19,1908,Apr 7,1898,Mar 14,2015,Apr 17,1882,Mar 26,1946,Apr 30,1880,Apr 8,1925,May 13,1954,May 5,1926,Jul 10,1957,Nov 10,1945/46,Dec 14,1981/82,Nov 27,1872/73,Jan 22,1905/06
13,Jan 20,1944,Apr 7,1970,Mar 15,1927,Apr 17,1909,Mar 26,1973,Apr 29,1874,Apr 8,1955,May 12,1875,May 5,1934,Jul 10,1998,Nov 10,1986/87,Dec 13,1939/40,Nov 27,1883/84,Jan 22,1986/87
14,Jan 22,1942,Apr 7,1975,Mar 17,1929,Apr 17,1923,Mar 28,1929,Apr 28,1885,Apr 8,2005,May 11,1885,May 5,2016,Jul 9,1899,Nov 10,2019/20,Dec 13,1968/69,Nov 27,1891/92,Jan 22,2002/03
15,Jan 24,1973,Apr 6,1893,Mar 17,1938,Apr 17,1948,Mar 28,1977,Apr 28,1947,Apr 9,1930,May 11,1924,May 6,1953,Jul 9,1947,Nov 11,1995/96,Dec 13,2020/21,Nov 28,1874/75,Jan 22,2005/06
16,Jan 30,1993,Apr 6,1960,Mar 17,1968,Apr 17,1962,Mar 29,1918,Apr 27,1873,Apr 9,1977,May 11,1929,May 6,1992,Jul 5,1892,Nov 11,1996/97,Dec 12,1878/79,Nov 28,1886/87,Jan 20,2012/13
17,Jan 31,1952,Apr 6,1969,Mar 18,1910,Apr 17,1979,Mar 29,2010,Apr 27,1917,Apr 9,2003,May 11,1960,May 7,1887,Jul 5,1916,Nov 12,1911/12,Dec 12,1916/17,Nov 28,1894/95,Jan 19,1925/26
18,Feb 2,1878,Apr 6,2014,Mar 18,1918,Apr 17,1996,Mar 30,1967,Apr 27,1992,Apr 10,1958,May 10,1882,May 7,2018,Jul 5,1924,Nov 13,1876/77,Dec 11,1979/80,Nov 29,1873/74,Jan 19,1974/75
19,Feb 2,1924,Apr 5,1872,Mar 19,1889,Apr 17,2018,Mar 30,1999,Apr 26,1875,Apr 10,1986,May 10,2014,May 8,1874,Jul 5,1981,Nov 13,1896/97,Dec 10,1943/44,Nov 29,1876/77,Jan 18,2018/19
20,Feb 2,1935,Apr 5,1894,Mar 20,1926,Apr 16,1881,Mar 31,1958,Apr 26,1904,Apr 11,1968,May 7,1893,May 9,2007,Jul 2,1895,Nov 13,1932/33,Dec 10,1944/45,Nov 29,1893/94,Jan 18,2023/24
21,Feb 3,1991,Apr 5,1962,Mar 20,1945,Apr 16,1950,Apr 1,1925,Apr 26,1909,Apr 11,1988,May 6,1920,May 10,1977,Jul 1,1877,Nov 13,1959/60,Dec 10,1962/63,Nov 29,1958/59,Jan 17,2015/16
22,Feb 4,1925,Apr 4,1941,Mar 20,1946,Apr 16,1974,Apr 1,2015,Apr 26,1951,Apr 11,2015,May 6,1970,May 11,1940,Jul 1,1881,Nov 13,1985/86,Dec 9,1948/49,Dec 1,1890/91,Jan 15,1939/40
23,Feb 5,1963,Apr 3,1909,Mar 20,1991,Apr 16,1978,Apr 2,1906,Apr 26,2013,Apr 12,1913,May 6,1975,May 11,2024,Jul 1,1885,Nov 13,2002/03,Dec 9,2016/17,Dec 1,1926/27,Jan 15,1952/53
24,Feb 7,1886,Apr 2,1882,Mar 21,1928,Apr 15,1892,Apr 2,1988,Apr 25,1974,Apr 12,1918,May 6,1995,May 11,2025,Jul 1,1896,Nov 14,1881/82,Dec 8,2001/02,Dec 1,1976/77,Jan 12,1969/70
25,Feb 9,1976,Apr 2,1890,Mar 21,1957,Apr 15,1932,Apr 2,1991,Apr 24,1883,Apr 12,2002,May 6,2013,May 12,1900,Jul 1,1935,Nov 14,1883/84,Dec 7,1974/75,Dec 2,1964/65,Jan 12,1997/98
26,Feb 11,1934,Apr 2,1940,Mar 21,1973,Apr 15,1933,Apr 3,1895,Apr 24,1884,Apr 13,1886,May 6,2022,May 12,1958,Jul 1,2010,Nov 14,1955/56,Dec 6,1918/19,Dec 2,1972/73,Jan 11,1888/89
27,Feb 15,1981,Apr 2,1949,Mar 22,1963,Apr 15,1989,Apr 3,1901,Apr 24,1888,Apr 13,1908,May 5,1916,May 12,1991,Jun 29,2004,Nov 14,1972/73,Dec 6,1956/57,Dec 5,1908/09,Jan 11,1962/63
28,Feb 16,1916,Apr 2,2008,Mar 22,2003,Apr 15,2019,Apr 3,1912,Apr 23,1876,Apr 13,1915,May 5,1936,May 13,1932,Jun 29,2006,Nov 15,1938/39,Dec 6,1998/99,Dec 5,1950/51,Jan 11,2006/07
29,Feb 17,2017,Apr 2,2011,Mar 23,1920,Apr 14,1940,Apr 3,1998,Apr 23,1924,Apr 13,1969,May 5,1945,May 13,1960,Jun 29,2011,Nov 15,1989/90,Dec 5,1912/13,Dec 6,1882/83,Jan 8,1979/80
30,Feb 19,1930,Apr 1,1901,Mar 23,1939,Apr 14,1972,Apr 4,1900,Apr 23,1962,Apr 13,1973,May 4,1872,May 13,1965,Jun 27,1883,Nov 16,1891/92,Dec 5,1922/23,Dec 6,1885/86,Jan 7,1928/29
31,Feb 19,1982,Apr 1,1919,Mar 23,1984,-,-,Apr 4,1930,Apr 23,1975,Apr 13,1976,May 4,1909,-,-,Jun 27,1962,Nov 16,1903/04,Dec 5,1961/62,Dec 6,1910/11,-,-
32,-,-,Apr 1,1989,-,-,-,-,Apr 4,1984,Apr 23,2014,Apr 13,1999,May 4,1953,-,-,-,-,Nov 16,1924/25,Dec 5,2009/10,Dec 6,2022/23,-,-
33,-,-,-,-,-,-,-,-,-,-,Apr 23,2020,-,-,May 4,1961,-,-,-,-,Nov 16,2005/06,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,May 4,1966,-,-,-,-,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,May 4,1997,-,-,-,-,-,-,-,-,-,-,-,-
36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,May 4,2009,-,-,-,-,-,-,-,-,-,-,-,-
