Year,First 5,30-y F5,First 10,30-y F10,First 15,30-y F15,First 20,30-y F20,First 30,30-y F30,First -20,30-y F-20,First -30,30-y F-20
1872,Apr 5,-,Apr 5,-,May 2,-,May 4,-,Jun 18,-,Nov 26,-,Nov 27,-
1873,Mar 30,-,Apr 12,-,Apr 27,-,May 1,-,Jun 6,-,Nov 3,-,Nov 29,-
1874,Mar 16,-,Apr 12,-,Apr 29,-,Apr 29,-,May 8,-,Nov 17,-,Nov 28,-
1875,Mar 25,-,Apr 8,-,Apr 26,-,May 12,-,May 22,-,Nov 18,-,Nov 21,-
1876,Apr 8,-,Apr 17,-,Apr 23,-,Apr 26,-,May 24,-,Nov 13,-,Nov 29,-
1877,Mar 28,-,Apr 10,-,Apr 18,-,Apr 21,-,Jul 1,-,Jan 1,-,Jan 4,-
1878,Feb 2,-,Mar 5,-,Mar 22,-,Apr 26,-,Jun 12,-,Dec 12,-,Dec 22,-
1879,Mar 5,-,Mar 30,-,Apr 8,-,Apr 20,-,Jul 12,-,Nov 20,-,Dec 11,-
1880,Mar 28,-,Apr 12,-,Apr 30,-,Apr 30,-,Jun 20,-,Nov 19,-,Nov 20,-
1881,Mar 16,-,Apr 16,-,Apr 21,-,Apr 22,-,Jul 1,-,Nov 14,-,Nov 19,-
1882,Apr 2,-,Apr 17,-,Apr 19,-,May 10,-,Jul 24,-,Nov 23,-,Dec 6,-
1883,Mar 13,-,Apr 20,-,Apr 24,-,May 16,-,Jun 27,-,Nov 14,-,Nov 27,-
1884,Apr 12,-,Apr 22,-,Apr 24,-,May 15,-,Jun 19,-,Nov 20,-,Nov 23,-
1885,Mar 30,-,Apr 4,-,Apr 28,-,May 11,-,Jul 1,-,Dec 4,-,Dec 6,-
1886,Feb 7,-,Apr 6,-,Apr 8,-,Apr 13,-,Jun 24,-,Nov 24,-,Nov 28,-
1887,Mar 11,-,Apr 2,-,Apr 8,-,Apr 29,-,May 7,-,Nov 19,-,Nov 26,-
1888,Apr 8,-,Apr 12,-,Apr 24,-,Apr 25,-,Jun 13,-,Nov 17,-,Jan 11,-
1889,Mar 10,-,Mar 19,-,Mar 23,-,Apr 8,-,Jun 5,-,Nov 27,-,Dec 13,-
1890,Apr 2,-,Apr 10,-,Apr 10,-,Apr 19,-,Jun 9,-,Dec 1,-,Dec 1,-
1891,Mar 27,-,Mar 28,-,Apr 11,-,Apr 19,-,Apr 25,-,Nov 16,-,Nov 27,-
1892,Mar 25,-,Apr 15,-,Apr 20,-,May 16,-,Jul 5,-,Nov 20,-,Dec 19,-
1893,Apr 6,-,Apr 30,-,May 2,-,May 7,-,Jun 7,-,Nov 3,-,Nov 29,-
1894,Apr 5,-,Apr 7,-,Apr 22,-,Apr 24,-,Jun 1,-,Nov 18,-,Nov 28,-
